Data Source,Short Name,Units,Decimal
AQHI,Current AQHI,,0
FORECAST_TONIGHT,Forecast Tonight,,
FORECAST_TODAY,Forecast Today,,
FORECAST_TOMORROW,Forecast Tomorrow,,
